City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
383,castillos,-34.1667,-53.8333,18.88,86,100,7.67,UY,1707795660
384,the pas,53.8251,-101.2541,-7.99,93,20,4.12,CA,1707795747
385,menzelinsk,55.7271,53.1026,-9.32,95,100,3.58,RU,1707795748
386,nikolayevsk-on-amure,53.1406,140.73,-12.33,78,100,2.14,RU,1707795749
387,potosi,-19.5836,-65.7531,9.44,74,100,1.49,BO,1707795749
388,renfrew,55.872,-4.3925,6.02,91,75,8.23,GB,1707795750
389,andergrove,-21.0833,149.1833,29.25,81,36,4.57,AU,1707795750
390,hoopstad,-27.8327,25.9083,21.01,47,37,3.6,ZA,1707795751
391,shetpe,44.1667,52.1167,8.18,60,100,3.25,KZ,1707795752
392,stephenville,32.2207,-98.2023,6.54,70,0,1.54,US,1707795752
393,talnakh,69.4865,88.3972,-34.07,86,21,1.74,RU,1707795753
394,losal,27.4,74.9167,17.87,25,93,1.87,IN,1707795753
395,kununurra,-15.7667,128.7333,29.99,79,75,5.66,AU,1707795740
396,guigang,23.0964,109.6092,20.55,68,98,4.26,CN,1707795754
397,lompoc,34.6391,-120.4579,12.1,84,75,4.47,US,1707795487
398,sola,-13.8833,167.55,31.37,70,40,1.03,VU,1707795755
399,kapuskasing,49.4169,-82.4331,-10.0,79,100,3.09,CA,1707795756
400,kruisfontein,-34.0033,24.7314,17.71,84,45,4.43,ZA,1707795757
401,gagarin,55.5529,34.9954,-2.43,95,100,3.9,RU,1707795757
402,nyurba,63.2842,118.3319,-24.86,91,100,2.73,RU,1707795670
403,zhaotong,27.3167,103.7167,15.23,27,0,3.49,CN,1707795758
404,celestun,20.8667,-90.4,22.94,72,99,7.34,MX,1707795759
405,callaway,30.153,-85.5699,16.96,81,0,7.72,US,1707795759
406,arar,30.9753,41.0381,9.01,87,100,4.12,SA,1707795760
407,kosh-agach,50.0,88.6667,-26.98,92,43,0.51,RU,1707795760
408,rives,45.355,5.4993,4.35,92,40,2.06,FR,1707795761
409,kangding,30.0513,101.9603,11.39,25,0,2.52,CN,1707795762
410,waddan,29.1614,16.139,13.55,52,7,3.31,LY,1707795762
411,homer,59.6425,-151.5483,5.94,70,100,3.09,US,1707795763
412,arawa,-6.2132,155.5367,29.72,74,96,0.73,PG,1707795763
413,luena,-11.7833,19.9167,17.88,85,70,1.6,AO,1707795764
414,gandi,12.9636,5.7434,21.69,9,4,4.47,NG,1707795764
415,rio san juan,19.6439,-70.0763,22.93,88,8,4.87,DO,1707795765
416,kerikeri,-35.2268,173.9474,24.39,64,4,3.35,NZ,1707795766
417,ialibu,-6.2821,143.9935,21.96,59,100,2.43,PG,1707795766
418,klaksvik,62.2266,-6.589,2.51,80,77,3.69,FO,1707795768
